,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,nutrition_grade_fr
270,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
271,2.82,11.3,0.0,0.0,1.41,70.5,7.05,0.804,c
272,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
273,3.3,3.33,9.99e-05,0.0,26.67,66.67,16.67,0.0,d
274,0.0,0.0,3.875e-07,0.015,0.0,11.3,11.3,0.0,e
275,0.0,0.0,0.00018,0.0279999999999999,0.0,10.0,9.9,0.0393700787401575,e
276,0.0,0.0,6e-05,0.011125,0.0,12.4,12.1,0.0393700787401575,e
277,0.0,0.01,3.875e-07,0.015,0.0025,11.425,11.3,0.0393700787401575,e
278,2.33,4.65,0.0,0.0,23.3,67.4,18.6,0.535,d
279,0.5,31.0,8.025e-05,0.0,4.7,0.5,0.5,0.0905511811023622,b
280,3.1,9.3,3.125e-05,0.000555,11.9,41.4,2.3,1.0,d
281,2.56,6.41,0.0,0.0,11.5,39.7,8.97,0.423,b
282,2.11,2.11,0.0,0.0,1.05,12.6,5.26,0.211,a
283,2.0,7.9,0.0001859,0.00290725,8.4,10.4,2.9,0.236220472440945,b
284,6.3,8.9,8.825e-06,0.0,4.0,49.5,2.7,0.31496062992126,a
285,0.0,0.0,0.0,0.0125625,0.0,0.422,0.0,0.00211,b
286,2.4,2.4,0.00036,0.0,0.8,9.6,5.6,0.368,b
287,3.7,5.2,5.35e-05,0.0181925,26.8,59.8,2.8,0.956692913385827,d
288,4.6,6.1,9.1e-05,0.0112424999999999,26.6,57.1,4.5,0.512,c
289,1.52,3.03,0.000136,0.0,10.6,28.8,21.2,0.0833,c
290,1.9,9.9,5.08e-05,0.00089175,13.5,21.7,3.2,0.47244094488189,c
291,0.0,0.0,0.0,0.0,14.5,16.1,12.9,1.13,d
292,1.72,10.3,0.0,0.0,5.17,70.7,10.3,0.81,d
293,0.0,0.0,0.0,0.0,76.9,0.0,0.0,0.538,e
294,0.0,0.0,0.0,0.0,23.3,13.3,6.67,0.667,d
295,0.0,0.0,0.0,0.0,76.9,0.0,0.0,0.538,e
296,1.82,10.9,0.0,0.0,5.45,70.9,10.9,0.836,d
297,0.0,40.0,0.00026125,0.0,30.0,0.0,0.0,1.54,e
298,0.0,0.0,0.0,0.0,0.0,40.5,37.8,0.919,e
299,0.0,0.0,0.0,0.0,0.0,43.2,37.8,0.919,e
300,0.0,0.0,0.0,0.0,0.0,40.5,35.1,0.946,e
301,1.82,10.9,0.0,0.0,5.45,70.9,10.9,0.836,d
302,1.09,1.09,9.925e-05,0.015825,3.26,19.6,13.0,0.12,c
303,0.0,19.0,0.0001592249999999,0.0,21.4,9.52,9.52,1.05,e
304,0.0,0.0,0.0,0.0,0.0,29.7,16.2,0.703,d
305,0.0,0.0,0.0,0.0,40.0,6.67,3.33,0.967,e
306,0.0,0.0,0.0,0.0,37.9,6.9,3.45,0.897,d
307,0.0,0.0,0.0,0.0,18.2,27.3,24.2,1.03,e
308,0.0,0.0,0.0,0.0,40.0,13.3,13.3,0.9,e
309,0.0,0.0,0.0,0.0,37.9,6.9,3.45,0.897,d
310,2.0,9.0,0.0,0.0,2.0,49.0,7.0,0.61,c
311,1.43,12.86,0.0,0.0,4.29,68.57,10.0,0.81496062992126,d
312,1.41,12.7,0.0,0.0,4.23,67.7,9.88,0.804,d
313,0.0,0.0,0.0,0.00375,3.12,9.38,6.25,1.12,d
314,0.0,0.0,0.000176,0.00706,0.0,29.4,23.5,0.941,d
315,12.5,10.0,0.0,0.0,47.5,37.5,20.0,0.0,d
316,15.0,10.0,0.0,0.0,50.0,35.0,12.5,0.0,d
317,0.417,4.17,6.25e-05,0.0005,1.04,15.0,14.2,0.0917,c
318,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
319,0.417,4.17,6.25e-05,0.0005,2.08,15.0,14.2,0.0917,c
320,0.0,3.33,9.99e-05,0.0,10.0,3.33,3.33,0.05,c
321,0.0,8.24,0.000176,0.000706,0.0,5.88,4.71,0.0588,a
322,0.0,0.0,0.0,0.0,0.0,23.53,23.53,0.882,d
323,0.0,25.0,0.0,0.0,21.4,1.79,1.79,1.64,e
324,0.0,17.9,0.0,0.0,3.57,3.57,0.0,0.643,c
325,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
326,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
327,6.7,10.0,9.99e-05,0.0,33.33,46.67,33.33,0.05,d
328,0.0,0.0,0.0,0.0,0.0,48.6,43.2,0.784,e
329,1.6,1.6,0.00018,0.0072,2.0,8.0,5.6,0.344,b
330,3.6,12.5,0.0,0.0,1.79,73.21,3.57,0.0,a
331,1.225,0.0,0.0002,0.0115,71.4,7.14,7.14,0.321,e
332,0.0,0.0,0.0,0.0,93.3,0.0,0.0,0.0,c
333,0.0,0.0,0.0,0.0785125,0.0,80.0,80.0,0.0,d
334,1.4,8.4,5.8750000000000005e-05,0.004375,2.4,9.7,1.6,0.16,a
335,0.0,10.0,0.0,0.0,15.0,0.0,1.0,0.71,d
336,3.33,6.67,0.0,0.0,13.3,76.7,26.7,0.233,d
337,5.0,10.0,0.0,0.0,18.33,65.0,26.67,0.15,c
338,6.67,8.89,0.0,0.0,24.4,62.2,35.6,0.122,d
339,10.7,3.57,0.00937,0.00857,28.6,60.7,10.7,0.5,c
340,7.1,7.14,0.0,0.0,25.0,64.29,3.57,0.286,b
